Cities_grouped,City_Municipality_or_Province,Province_Region_or_State,Country,Count_Resp_ID,Latitude,Longitude
" Catbalogan, Philippines ",Catbalogan,Samar,Philippines,1,11.7753199,124.8829549
albay,Albay,Bicol,Philippines,1,13.216667,123.55
"Albay, Bicol",Albay,Bicol,Philippines,1,13.216667,123.55
"Aleosan, Philippines",Aleosan,North Cotabato,Philippines,1,7.1585808,124.5774001
Alex ,Alexandria,Alexandria,Egypt,1,31.1991806,29.8951716
Alexanderia,Alexandria,Alexandria,Egypt,1,31.1991806,29.8951716
Alexandria,Alexandria,Alexandria,Egypt,1,31.1991806,29.8951716
"Alexandria, Egypt",Alexandria,Alexandria,Egypt,1,31.1991806,29.8951716
"Angeles City, Pampanga",Angeles,Pampanga,Philippines,1,15.17020975,120.61042606275025
"Angeles City, Pampanga Philippines",Angeles,Pampanga,Philippines,1,15.17020975,120.61042606275025
Angono,Angono,Rizal,Philippines,1,14.5258481,121.1529683
"Angono, Philippines ",Angono,Rizal,Philippines,1,14.5258481,121.1529683
"Angono, Rizal",Angono,Rizal,Philippines,1,14.5258481,121.1529683
Antipolo,Antipolo,Rizal,Philippines,1,14.5871972,121.1759246
Antipolo City,Antipolo,Rizal,Philippines,1,14.5871972,121.1759246
"Antipolo City, Philippines",Antipolo,Rizal,Philippines,4,14.5871972,121.1759246
"Antipolo City, Philippines ",Antipolo,Rizal,Philippines,1,14.5871972,121.1759246
"Antipolo, Philippines",Antipolo,Rizal,Philippines,2,14.5871972,121.1759246
"Antipolo, Rizal",Antipolo,Rizal,Philippines,2,14.5871972,121.1759246
"Antipolo, Rizal, Philippines",Antipolo,Rizal,Philippines,1,14.5871972,121.1759246
"Antipolo,Philippines",Antipolo,Rizal,Philippines,1,14.5871972,121.1759246
"Antique, Philippines",Antique,Antique,Philippines,1,10.766609549999998,121.93367192294909
"Aurora, Philippines",Aurora,Aurora,Philippines,2,16.9905571,121.6360873
"Baco, Oriental Mindoro",Baco,Oriental Mindoro,Philippines,1,13.3581031,121.0963319
Bacolod,Bacolod,Negros Occidental,Philippines,1,10.777000699999999,123.01801470321547
"Bacolod City, Philippines",Bacolod,Negros Occidental,Philippines,2,10.777000699999999,123.01801470321547
Bacoor,Bacoor,Cavite,Philippines,1,14.458816,120.959579
Bacoor City,Bacoor,Cavite,Philippines,1,14.458816,120.959579
"Bacoor City, Cavite, Philippines",Bacoor,Cavite,Philippines,1,14.458816,120.959579
"Bacoor City, Philippines",Bacoor,Cavite,Philippines,1,14.458816,120.959579
"Bacoor City,Cavite",Bacoor,Cavite,Philippines,1,14.458816,120.959579
Baguio,Baguio,Benguet,Philippines,1,16.4119905,120.5933719
Baguio City,Baguio,Benguet,Philippines,2,16.4119905,120.5933719
"Baguio City, Philippines",Baguio,Benguet,Philippines,6,16.4119905,120.5933719
"Baliuag City, Philippines",Baliwag,Bulacan,Philippines,1,14.9542259,120.9009172
Baliwag,Baliwag,Bulacan,Philippines,1,14.9542259,120.9009172
Baliwag City,Baliwag,Bulacan,Philippines,1,14.9542259,120.9009172
"Bambang, Nueva Vizcaya",Bambang,Nueva Vizcaya,Philippines,1,16.3850624,121.1054715
Bataan,Bataan,Bataan,Philippines,3,14.63156175,120.3155938339047
"Bataan, Philippines",Bataan,Bataan,Philippines,1,14.63156175,120.3155938339047
Batangas,Batangas,Batangas,Philippines,6,13.7558718,121.0584755
"Batangas City, Philippines",Batangas,Batangas,Philippines,2,13.7558718,121.0584755
"Batangas City, Philippines ",Batangas,Batangas,Philippines,1,13.7558718,121.0584755
"Batangas, City. Philippines",Batangas,Batangas,Philippines,1,13.7558718,121.0584755
"Batangas, Philippines",Batangas,Batangas,Philippines,7,13.7558718,121.0584755
"Batangas, Philippines ",Batangas,Batangas,Philippines,1,13.7558718,121.0584755
"Bay, Philippines",Bay,Metro Manila,Philippines,1,,
"Bayombong, Nueva Vizcaya",Bayombong,Nueva Vizcaya,Philippines,2,16.4829252,121.1505219
Benguet,Benguet,Benguet,Philippines,1,16.3868994,120.5595948
"Benguet, Philippines ",Benguet,Benguet,Philippines,1,16.3868994,120.5595948
"Binan City, Laguna ",Binan,Laguna,Philippines,1,14.3388259,121.0841826
"Binan City, Philippines",Binan,Laguna,Philippines,2,14.3388259,121.0841826
"Binan, Laguna",Binan,Laguna,Philippines,1,14.3388259,121.0841826
Bicol,Bicol,Bicol,Philippines,2,13.11299925,123.67952109789675
"Bicol, Philippines",Bicol,Bicol,Philippines,1,13.11299925,123.67952109789675
"Binan, Laguna",Binan,Laguna,Philippines,2,14.3388259,121.0841826
"Binangonan, Rizal Philippines",Binangonan,Rizal,Philippines,1,14.4647563,121.1923358
Bocaue Bulacan,Bocaue,Bulacan,Philippines,1,14.7954178,120.9253578
"Bocaue, Bulacan, Philippines",Bocaue,Bulacan,Philippines,1,14.7954178,120.9253578
Bohol,Bohol,Bohol,Philippines,1,9.880782199999999,124.2064611575164
"Borongan City, Eastern Samar",Borongan,Eastern Samar,Philippines,1,11.6085788,125.435328
"Bukit Batok, Singapore",Singapore,Singapore,Singapore,1,1.2962018,103.77689765953073
Bulacan,Bulacan,Bulacan,Philippines,3,14.86961745,120.99893763471616
Bulacan ,Bulacan,Bulacan,Philippines,1,14.86961745,120.99893763471616
"Bulacan, Philippines",Bulacan,Bulacan,Philippines,10,14.86961745,120.99893763471616
"Butuan City, Philippines ",Butuan,Agusan del Norte,Philippines,1,8.95155605,125.47872520375199
Cabite,Cavite,Cavite,Philippines,1,14.4820919,120.908919
"Cabuyao, Laguna, Philippines ",Cabuyao,Laguna,Philippines,1,14.2795538,121.1235712
"Cabuyao, Philippines",Cabuyao,Laguna,Philippines,1,14.2795538,121.1235712
Cagayan de Oro,Cagayan de Oro,Misamis Oriental,Philippines,1,8.4756417,124.6421532
Cagayan de Oro city,Cagayan de Oro,Misamis Oriental,Philippines,3,8.4756417,124.6421532
"Cagayan de Oro City, Philippines",Cagayan de Oro,Misamis Oriental,Philippines,1,8.4756417,124.6421532
"Cairo, Egypt",Cairo,Cairo,Egypt,1,30.0443879,31.2357257
"Cairo,Egypt",Cairo,Cairo,Egypt,1,30.0443879,31.2357257
calabarzon,Not available,Not available,Philippines,1,,
"calaca city, batangas, philippines",Calaca,Batangas,Philippines,1,13.9304212,120.8130856
Calamba City Philippines,Calamba,Laguna,Philippines,1,14.2060217,121.1556496
"calamba city, laguna",Calamba,Laguna,Philippines,2,14.2060217,121.1556496
"Calamba City, Philippines",Calamba,Laguna,Philippines,1,14.2060217,121.1556496
"Calamba City, Philippines ",Calamba,Laguna,Philippines,1,14.2060217,121.1556496
"Calamba, Laguna",Calamba,Laguna,Philippines,1,14.2060217,121.1556496
"Calamba, Laguna, Philippines",Calamba,Laguna,Philippines,1,14.2060217,121.1556496
"Calgary, Alberta",Calgary,Alberta,Canada,1,51.0456064,-114.057541
"Calgary, Canada",Calgary,Alberta,Canada,1,51.0456064,-114.057541
"Caloocan, Philippines",Caloocan,Metro Manila,Philippines,25,14.651348,120.9724002
Camarines Norte,Camarines Norte,Camarines Norte,Philippines,1,14.1122822,122.95531711104972
Camarines Sur,Camarines Sur,Camarines Sur,Philippines,1,13.6156964,123.2410857
"Camarines Sur, Bicol Region, Philippines",Camarines Sur,Camarines Sur,Philippines,1,13.6156964,123.2410857
"Camarines Sur, Philippines",Camarines Sur,Camarines Sur,Philippines,1,13.6156964,123.2410857
"Catarman, Northern Samar",Catarman,Northern Samar,Philippines,1,12.499648,124.6364767
Cavite,Cavite,Cavite,Philippines,9,14.4820919,120.908919
Cavite ,Cavite,Cavite,Philippines,2,14.4820919,120.908919
"Cavite, PH",Cavite,Cavite,Philippines,1,14.4820919,120.908919
"Cavite, Philippines",Cavite,Cavite,Philippines,24,14.4820919,120.908919
"Cavite, Philippines ",Cavite,Cavite,Philippines,1,14.4820919,120.908919
"Cebu City, Philippines",Cebu,Cebu,Philippines,20,10.2934208,123.9022613
"Clark, Philippines",Clark,Pampanga,Philippines,1,15.177297450000001,120.52898462445954
"Cotabato City, Philippines",Cotabato,Cotabato,Philippines,1,6.9124358,124.92476075821469
"Daet, Philippines",Daet,Camarines Norte,Philippines,1,14.112333,122.9556967
"Dapitan City, Philippines",Dapitan City,Zamboanga del Norte,Philippines,1,8.6549449,123.4243754
"Dasma, Philippines",Dasmarinas,Cavite,Philippines,1,14.3270819,120.9370871
"Dasmarinas, Cavite",Dasmarinas,Cavite,Philippines,1,14.3270819,120.9370871
"Dasmarinas, Philippines",Dasmarinas,Cavite,Philippines,1,14.3270819,120.9370871
Davao,Davao,Davao del Sur,Philippines,1,7.0648306,125.6080623
"Davao City, Philippines",Davao,Davao del Sur,Philippines,23,7.0648306,125.6080623
,Davao del Norte,Davao del Norte,Philippines,1,7.39799765,125.77105849963041
"Davao, Philippines",Davao,Davao del Sur,Philippines,1,7.0648306,125.6080623
"Dipolog City, Philippines",Dipolog,Zamboanga del Norte,Philippines,1,8.5864062,123.3449371
Doha,Doha,Doha,Qatar,1,25.1670822,51.4372827
"Dumaguete City, Philippines",Dumaguete,Negros Oriental,Philippines,1,9.3054777,123.3080446
"Eastern Samar, Philippines ",Eastern Samar,Eastern Samar,Philippines,1,11.028007200000001,125.73405341441062
"Gen. Trias City, Cavite, Philippines",General Trias,Cavite,Philippines,1,14.386013,120.8802597
"Gen. Trias, Cavite",General Trias,Cavite,Philippines,2,14.386013,120.8802597
General Santos City,General Santos,South Cotabato,Philippines,1,6.1122217,125.1721893
"General Santos City, Philippines",General Santos,South Cotabato,Philippines,1,6.1122217,125.1721893
"General Trias, Cavite",General Trias,Cavite,Philippines,1,14.386013,120.8802597
Gingoog City,Gingoog City,Misamis Oriental,Philippines,1,8.8232748,125.1012978
"Gingoog City, Philippines",Gingoog City,Misamis Oriental,Philippines,1,8.8232748,125.1012978
"Giza,Egypt",Giza,Giza Governorate,Egypt,1,29.9870753,31.2118063
"Ho Chi Minh, Viet Nam",Ho Chi Minh,Ho Chi Minh,Viet Nam,1,10.8482445,106.7869449
"Iba, Zambales",Iba,Zambales,Philippines,1,15.3264614,119.9801043
Iligan city,Iligan city,Lanao del Norte,Philippines,2,8.2454672,124.25429364189893
Ilocos Norte,Ilocos Norte,Ilocos Region,Philippines,1,18.166667,120.75
"ILOCOS NORTE, PHILIPPINES",ILOCOS NORTE,Ilocos Region,PHILIPPINES,1,18.166667,120.75
"Ilocos Sur, Philippines",Ilocos Sur,Ilocos Region,Philippines,1,17.2,120.5
"Iloilo City, Philippines",Iloilo,Iloilo,Philippines,1,10.7015272,122.5777239
"Iloilo, Philippines",Iloilo,Iloilo,Philippines,1,10.7015272,122.5777239
"Iloio City, Philippines",Iloilo,Iloilo,Philippines,1,10.7015272,122.5777239
Imus,Imus,Cavite,Philippines,1,14.4290116,120.9365911
"Isabela, Philippines ",Isabela,Isabela,Philippines,1,6.7084502,121.9707948
"La pinas, Philippines",La Pinas,Metro Manila,Philippines,1,14.4132408,120.99402140000001
La Union,La Union,La Union,Philippines,2,16.620052649999998,120.33444437295104
Laguna,Laguna,Laguna,Philippines,10,14.16052895,121.24256647998524
Laguna - San Pedro,San Pedro,Laguna,Philippines,1,14.3639435,121.056771
Laguna Philippines,Laguna,Laguna,Philippines,2,14.16052895,121.24256647998524
"Laguna, Philippines",Laguna,Laguna,Philippines,10,14.16052895,121.24256647998524
"Laguna, Philippines ",Laguna,Laguna,Philippines,2,14.16052895,121.24256647998524
Laguna. Philippines,Laguna,Laguna,Philippines,1,14.16052895,121.24256647998524
"Laoag City, Philippines",Laoag City,Ilocos Norte,Philippines,1,18.1973235,120.5935433
Las Pinas,Las Pinas,Metro Manila,Philippines,1,14.4809012,120.9817861
Las Pinas ,Las Pinas,Metro Manila,Philippines,1,14.4809012,120.9817861
las pinas city,Las Pinas,Metro Manila,Philippines,1,14.4809012,120.9817861
"Las Pinas, Philippines",Las Pinas,Metro Manila,Philippines,2,14.4809012,120.9817861
"Las Pinas, Philippines ",Las Pinas,Metro Manila,Philippines,1,14.4809012,120.9817861
las pinas,Las Pinas,Metro Manila,Philippines,1,14.4809012,120.9817861
"Las Pinas City, Philippines",Las Pinas,Metro Manila,Philippines,2,14.4809012,120.9817861
"Las Pinas, Philippines",Las Pinas,Metro Manila,Philippines,1,14.4809012,120.9817861
"Legazpi City, Albay",Legazpi,Albay,Philippines,1,13.1388596,123.7343104
"Legazpi, Philippines",Legazpi,Albay,Philippines,1,13.1388596,123.7343104
Leyte,Leyte,Leyte,Philippines,1,11.3704698,124.4867592
"Leyte, Philippines",Leyte,Leyte,Philippines,2,11.3704698,124.4867592
"Leyte, Philippines ",Leyte,Leyte,Philippines,1,11.3704698,124.4867592
"Ligao City, Albay",Ligao City,Albay,Philippines,1,13.2402789,123.5365227
"Ligao City, Albay Philippines",Ligao City,Albay,Philippines,1,13.2402789,123.5365227
Lipa City,Lipa City,Batangas,Philippines,1,13.9550685,121.1655923
"Lipa City, Philippines",Lipa City,Batangas,Philippines,2,13.9550685,121.1655923
"Lipa, Philippines",Lipa,Batangas,Philippines,1,13.941434,121.1642826
"Lucena City, Philippines",Lucena City,Quezon,Philippines,1,13.92687635,121.61350339539544
"Lucena City, Quezon Province",Lucena City,Quezon,Philippines,1,13.92687635,121.61350339539544
"Lucena, City",Lucena,City,Philippines,1,13.9357357,121.6130999
Mabalacat City,Mabalacat,Pampanga,Philippines,1,15.2250826,120.5733815
"Macrohon, Southern Leyte, Philippines",Macrohon,Southern Leyte,Philippines,1,10.0766352,124.9401658
"Madrid, Spain",Madrid,Madrid,Spain,1,40.4237276,-3.6899043
"Makati, Philippines",Makati,Metro Manila,Philippines,19,14.5567949,121.0211226
Malabon,Malabon,Metro Manila,Philippines,3,14.6578504,120.9511261
Malabon city,Malabon city,Metro Manila,Philippines,1,14.657293899999999,120.9501670579863
"Malabon City, Philippines",Malabon City,Metro Manila,Philippines,1,14.657293899999999,120.9501670579863
"Malay, Aklan Philippines",Malay,Aklan,Philippines,1,11.9000941,121.9099
Malolos City,Malolos City,Bulacan,Philippines,1,14.843759,120.8113694
"Malolos, Bulacan",Malolos,Bulacan,Philippines,3,14.843759,120.8113694
"Malolos,Bulacan",Malolos,Bulacan,Philippines,1,14.843759,120.8113694
"Mamburao, Philippines ",Mamburao,Occidental Mindoro,Philippines,1,13.2248292,120.5960338
"Manama, Bahrain",Manama,Manama,Bahrain,1,26.2330696,50.5910265
"Mandaluyong, Philippines",Mandaluyong,Metro Manila,Philippines,11,14.5774392,121.0338973
"Manila, Philippines",Manila,Metro Manila,Philippines,58,14.5904492,120.9803621
Marikina,Marikina,Metro Manila,Philippines,3,14.6331084,121.0993541
Marikina City ,Marikina City,Metro Manila,Philippines,1,14.6258682,121.08405608178566
"Marikina City, Philippines",Marikina City,Metro Manila,Philippines,2,14.6258682,121.08405608178566
"Marikina, Philippines",Marikina,Metro Manila,Philippines,3,14.6331084,121.0993541
"Marilao, Bulacan ",Marilao,Bulacan,Philippines,1,14.7740516,120.9593854
"Masbate, Philippines",Masbate,Masbate,Philippines,1,12.3710899,123.6239223
"Montalban, Rizal",Montalban,Rizal,Philippines,1,14.7324642,121.1453418
"Municipality of Bula, Camarines Sur, Philippines",Municipality of Bula,Camarines Sur,Philippines,1,,
Municipality of Pateros,Pateros,Metro Manila,Philippines,2,14.5447555,121.067134
Muntinlupa,Muntinlupa,Metro Manila,Philippines,1,14.3892634,121.0449101
Muntinlupa City,Muntinlupa City,Metro Manila,Philippines,2,14.3892634,121.0449101
"Muntinlupa, Philippines",Muntinlupa,Metro Manila,Philippines,4,14.3892634,121.0449101
"Naga City Camarines Sur, Philippines",Naga City,Camarines Sur,Philippines,1,13.7165145,123.1443103
"Naga City, Camarines Sur",Naga City,Camarines Sur,Philippines,1,13.7165145,123.1443103
"Naga City, Camarines Sur PH",Naga City,Camarines Sur,Philippines,1,13.7165145,123.1443103
"Naga City, Philippines",Naga City,Camarines Sur,Philippines,1,13.7165145,123.1443103
"Naga city,Camarines Sur,Philippines",Naga city,Camarines Sur,Philippines,1,13.7165145,123.1443103
"Negros Occidental, Philippines",Negros Occidental,Negros Occidental,Philippines,1,9.85078305,122.88982965068698
Negros Oriental,Negros Oriental,Negros Oriental,Philippines,1,9.471146449999999,123.11991709981623
Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,United Kingdom,1,54.964715350000006,-1.6389635287307005
Perth,Perth,Perth,Australia,1,-31.9513659,115.8603895287873
North Luzon (Benguet Province),Benguet,Benguet,Philippines,1,16.3868994,120.5595948
Nueva Ecija,Nueva Ecija,Nueva Ecija,Philippines,3,15.4846019,120.97577980460778
Nueva Ecija Cabanatuan City,Cabanatuan,Nueva Ecija,Philippines,1,15.4905045,120.9684264
"Nueva Ecija, Philippines",Nueva Ecija,Nueva Ecija,Philippines,1,15.4846019,120.97577980460778
"Nueva Vizcaya, Philippines",Nueva Vizcaya,Nueva Vizcaya,Philippines,1,16.38744195,121.10125765208187
Olongapo City,Olongapo City,Zambales,Philippines,1,14.8314675,120.2835205
"Olongapo City, Philippines",Olongapo City,Zambales,Philippines,1,14.8314675,120.2835205
"Oslo, Norway ",Oslo,Oslo,Norway,1,59.97239745,10.775729194051895
"Ozamiz City, Misamis Occidental",Ozamiz City,Misamis Occidental,Philippines,1,8.1470175,123.8459793
"Ozamiz City, Philippines",Ozamiz City,Misamis Occidental,Philippines,1,8.1470175,123.8459793
Pampanga,Pampanga,Central Luzon,Philippines,5,15.0519635,120.6445398
"Pampanga, Philippines",Pampanga,Central Luzon,Philippines,6,15.0519635,120.6445398
"Panay, Philippines",Panay,Panay,Philippines,1,13.7098738,120.8870702081606
Pangasinan,Pangasinan,Ilocos,Philippines,1,15.916667,120.333333
Pangasinan ,Pangasinan,Pangasinan,Philippines,2,15.93852325,120.58190240091878
"Pangasinan, Philippines",Pangasinan,Pangasinan,Philippines,3,15.93852325,120.58190240091878
"Paranaque, Philippines",Paranaque,Metro Manila,Philippines,25,14.5008116,120.9915327
Pasay City Ph,Pasay,Metro Manila,Philippines,1,14.5436995,120.9946503
"Pasay City, Philippines",Pasay,Metro Manila,Philippines,3,14.5436995,120.9946503
"Pasay, Philippines",Pasay,Metro Manila,Philippines,2,14.5436995,120.9946503
"Pasig, Philippines",Pasig,Metro Manila,Philippines,26,14.5605166,121.0764343
Pateros,Pateros,Metro Manila,Philippines,3,14.5447555,121.067134
"Pateros, Philippines",Pateros,Metro Manila,Philippines,1,14.5447555,121.067134
"Penang, Malaysia",Penang,Penang,Malaysia,1,5.2265873,100.45046721971197
"Puerto Princesa, Philippines",Puerto Princesa,Palawan,Philippines,1,9.7808779,118.73019101810532
"Quezon City, Philippines",Quezon,Metro Manila,Philippines,88,14.6510546,121.0486254
Quezon Province,Quezon,Quezon,Philippines,1,14.0067037,122.1827232
"Quezon Province, Philippines",Quezon,Quezon,Philippines,1,14.0067037,122.1827232
Regina,Regina,Saskatchewan,Canada,1,50.4479733,-104.6158764
Rizal,Rizal,Rizal,Philippines,7,12.5216732,121.0254067
"Rizal, Philippines",Rizal,Rizal,Philippines,8,12.5216732,121.0254067
"Rizal, Philippines ",Rizal,Rizal,Philippines,2,12.5216732,121.0254067
"Rodriguez, Philippines",Rodriguez,Rizal,Philippines,1,14.7324642,121.1453418
"Rodriguez, Rizal ",Rodriguez,Rizal,Philippines,1,14.7324642,121.1453418
"Romblon, Philippines",Romblon,Romblon,Philippines,1,12.5758425,122.2699465
"Sagay City, Philippines ",Sagay ,Negros Occidental,Philippines,1,10.8960681,123.4154617
San Fernando City,San Fernando,Pampanga,Philippines,1,15.0283014,120.6938038
"San Fernando City, Philippines ",San Fernando,Pampanga,Philippines,1,15.0283014,120.6938038
SAN JOSE CITY,San Jose,Nueva Ecija,Philippines,2,15.7917408,120.989145
"San Jose City, Nueva Ecija",San Jose,Nueva Ecija,Philippines,1,15.7917408,120.989145
San Jose del Monte ,San Jose Del Monte,Bulacan,Philippines,1,14.8101978,121.0474088
"San Jose Del Monte, Bulacan, Philippines",San Jose Del Monte,Bulacan,Philippines,1,14.8101978,121.0474088
"San Jose del Monte, Philippines",San Jose Del Monte,Bulacan,Philippines,2,14.8101978,121.0474088
"San Juan City, Philippines ",San Juan,Metro Manila,Philippines,1,14.6044363,121.0299469
"San Mateo, Rizal",San Mateo,Rizal,Philippines,2,14.6951949,121.1174024
"San Pablo City, Laguna",San Pablo,Laguna,Philippines,3,14.0700502,121.3255974
"San Pascual, Batangas, Philippines",San Pascual,Batangas,Philippines,1,13.7844912,121.0302229
"San Pedro, Laguna, Philippines",San Pedro,Laguna,Philippines,1,14.3639435,121.056771
"San Pedro, Philippines",San Pedro,Laguna,Philippines,1,14.3639435,121.056771
"Santa Cruz, Laguna, Philippines",Santa Cruz,Laguna,Philippines,1,14.2818099,121.414977
"Santa Maria, Bulacan, Philippines",Santa Maria,Bulacan,Philippines,1,14.8187993,120.9607117
Santa Rosa,Santa Rosa,Laguna,Philippines,1,14.3146042,121.1137004
Santa Rosa City,Santa Rosa,Laguna,Philippines,1,14.3146042,121.1137004
"Santa Rosa, Laguna",Santa Rosa,Laguna,Philippines,1,14.3146042,121.1137004
"Santa Rosa, Philippines",Santa Rosa,Laguna,Philippines,1,14.3146042,121.1137004
"Siargao, Surigao Del Norte",Siargao,Surigao Del Norte,Philippines,1,9.90375955,126.05074044371362
"Silang Cavite, Philippines",Silang,Cavite,Philippines,1,14.223624,120.9741497
Singapore,Singapore,Singapore,Singapore,1,1.2962018,103.77689765953073
Sohag,Sohag,Sohag Governorate,Egypt,1,26.547748,31.699263
Sohag-Egypt ,Sohag,Sohag Governorate,Egypt,1,26.547748,31.699263
"Sorsogon City, Philippines",Sorsogon,Sorsogon,Philippines,1,12.9707848,124.0052543
"Sorsogon, Philippines",Sorsogon,Sorsogon,Philippines,1,12.9707848,124.0052543
"Sta. Maria, Bulacan",Santa Maria,Bulacan,Philippines,1,14.8187993,120.9607117
"Sta. Rosa, Laguna",Santa Rosa,Laguna,Philippines,1,14.3146042,121.1137004
Sydney,Sydney,New South Wales,Australia,1,-33.8698439,151.2082848
Tacloban City,Tacloban,Leyte,Philippines,1,11.02972355,125.03756626063267
"Tagbilaran City, Philippines ",Tagbilaran,Bohol,Philippines,1,9.6402611,123.8559809
"Taguig, Philippines",Taguig,Metro Manila,Philippines,42,14.5270538,121.0744942
"Tallinn, Estonia",Tallinn,Harju County,Estonia,1,59.4372155,24.7453688
"Tarlac City, Philippines",Tarlac,Tarlac,Philippines,2,15.4861218,120.5893473
"Tarlac City, Tarlac",Tarlac,Tarlac,Philippines,1,15.4861218,120.5893473
"Tarlac, Philippines",Tarlac,Tarlac,Philippines,1,15.4861218,120.5893473
Taytay,Taytay,Rizal,Philippines,1,14.5587089,121.1359659
"Taytay, Philippines",Taytay,Rizal,Philippines,1,14.5587089,121.1359659
"Taytay, Rizal",Taytay,Rizal,Philippines,1,14.5587089,121.1359659
"Tinambac, Camarines Sur, Bicol, Philippines",Tinambac,Camarines Sur,Philippines,1,13.8183125,123.3253366
United Kingdom,London,United Kingdom,United Kingdom,1,,
"Urdaneta City, Pangasinan",Urdaneta,Pangasinan,Philippines,1,15.9759995,120.5668992
Valenzuela,Valenzuela,Metro Manila,Philippines,1,14.6916903,120.9694534
"Valenzuela City, Philippines",Valenzuela,Metro Manila,Philippines,1,14.6916903,120.9694534
"Valenzuela, Philippines",Valenzuela,Metro Manila,Philippines,2,14.6916903,120.9694534
"Valenzuela, Philippines ",Valenzuela,Metro Manila,Philippines,1,14.6916903,120.9694534
"Victoria, Melbourne",Melbourne,Victoria,Australia,1,-37.8142454,144.9631732
"Victoria's City, Philippines ",Victorias City,Negros Occidental,Philippines,1,10.9013412,123.0714943
Yaounde,Yaounde,Centre Region,Cameroon,1,3.8689867,11.5213344
"Zambales, Philippines ",Zambales,Zambales,Philippines,1,15.322813700000001,119.98327759999935
"Zamboanga City, Philippines",Zamboanga,Zamboanga del Sur,Philippines,2,7.84116355,123.40180206511064
"Zamboanga Del Norte, Philippines",Zamboanga Del Norte,Zamboanga Del Norte,Philippines,1,8.6549449,123.4243754
